subsample,n,share_pct,term,estimate,std_error,t,p_value,ci_low,ci_high,sig
H 高尾 p90-p100,123397,10.0,Hz,-0.006195267203654769,0.017502114173603,-0.35397250539015346,0.7262140011519058,-0.042171378125984385,0.029780843718674843,
H 高尾 p90-p100,123397,10.0,CH,-0.029826769400917847,0.009315704721665641,-3.2017727366937025,0.003586950085991081,-0.048975474698005964,-0.010678064103829727,***
H 高尾 p90-p100,123397,10.0,Vz,-0.03309522304197668,0.06120193056656573,-0.5407545601193242,0.5932797687439675,-0.15889759302332954,0.09270714693937618,
H 高尾 p90-p100,123397,10.0,Gz,0.02644041106413267,0.015784389096693628,1.6750987891999678,0.10590272923291066,-0.0060048653951146405,0.05888568752337998,
H 高尾 p90-p100,123397,10.0,VG,0.0177535497995847,0.011451762873105419,1.5502896799652648,0.13316015862023067,-0.005785885910440956,0.04129298550961036,
H 极高尾 p95-p100,61690,5.0,Cz,0.8108374487934269,0.09120268191093499,8.890500057720445,3.377270485493966e-08,0.6199480417272946,1.0017268558595593,***
H 极高尾 p95-p100,61690,5.0,Hz,-0.10381650083618106,0.029109104679974865,-3.566461489542134,0.0020597125788757165,-0.1647425571336566,-0.04289044453870551,***
H 极高尾 p95-p100,61690,5.0,CH,-0.06864398305500369,0.01727915053304872,-3.9726480143634815,0.0008155911464675647,-0.10480966076041603,-0.03247830534959135,***
H 极高尾 p95-p100,61690,5.0,Vz,-0.06576450468588414,0.04851018271950245,-1.3556845387730312,0.19109596926917805,-0.16729748400154285,0.03576847462977456,
H 极高尾 p95-p100,61690,5.0,Gz,0.006481614576846212,0.019088159268545634,0.3395620544473831,0.7379110491302998,-0.03347036192659584,0.046433591080288265,
H 极高尾 p95-p100,61690,5.0,VG,0.002906152257010387,0.008538600999333009,0.3403546151456662,0.7373236626904394,-0.014965345025588037,0.02077764953960881,
G 下 90% p0-p90,1110717,90.0,Cz,0.5970101881715647,0.04209098537829971,14.183801657429415,0.0,0.5122345918797971,0.6817857844633323,***
G 下 90% p0-p90,1110717,90.0,Hz,0.7268714518335032,0.09976499521324696,7.285836583060228,3.846792884232286e-09,0.525934436882821,0.9278084667841854,***
G 下 90% p0-p90,1110717,90.0,CH,0.2534581213844552,0.0343512232839521,7.378430726886619,2.8082374203819427e-09,0.18427120615604464,0.3226450366128658,***
G 下 90% p0-p90,1110717,90.0,Vz,0.014944376318524704,0.08598565219052272,0.17380081371496375,0.8628015076709221,-0.15823961715353688,0.1881283697905863,
G 下 90% p0-p90,1110717,90.0,Gz,-0.563917253017116,0.05786648809715017,-9.745143891752575,1.1601830607332886e-12,-0.6804663427962194,-0.4473681632380127,***
G 下 90% p0-p90,1110717,90.0,VG,-0.06782887154585165,0.03772574948800585,-1.797946295736722,0.07889650436339002,-0.1438124314377141,0.008154688346010783,*
G 高尾 p90-p100,123399,10.0,Cz,0.5659217802564595,0.03860235559820134,14.660291360116592,1.6719958750854857e-12,0.48564378711533956,0.6461997733975794,***
G 高尾 p90-p100,123399,10.0,Hz,0.15449876995546757,0.01603599255000589,9.634499983314774,3.7036698152803638e-09,0.12115009783452567,0.18784744207640947,***
G 高尾 p90-p100,123399,10.0,CH,-0.01929330149068888,0.025535025591785547,-0.7555622539456319,0.4583033257592968,-0.07239629423684128,0.033809691255463514,
G 高尾 p90-p100,123399,10.0,Vz,-0.10466816463369877,0.06813812661162043,-1.536117440244511,0.13944030415772568,-0.24636915608903098,0.03703282682163345,
G 高尾 p90-p100,123399,10.0,Gz,0.07489337143011693,0.027306248480724216,2.742719179567453,0.012195195734467701,0.018106919042029143,0.1316798238182047,**
G 高尾 p90-p100,123399,10.0,VG,0.028370991603037143,0.025586267831650772,1.1088366536967773,0.2800384367531765,-0.024838565214573834,0.08158054842064812,
G 极高尾 p95-p100,61697,5.0,Cz,0.30180940062584993,0.10543942129320895,2.8623962169383472,0.02425431303014869,0.052484787962019414,0.5511340132896805,**
G 极高尾 p95-p100,61697,5.0,Hz,0.19225543469918038,0.04535897306427155,4.238531468222691,0.003847289857978664,0.08499850696406,0.2995123624343008,***
G 极高尾 p95-p100,61697,5.0,CH,-0.010457475483550678,0.03720769010875891,-0.2810568313427478,0.7867929521319383,-0.09843968186047097,0.07752473089336961,
G 极高尾 p95-p100,61697,5.0,Vz,0.22569866727128376,0.08981013462168395,2.5130645691827143,0.040216276546202634,0.013331444906037132,0.43806588963653037,**
G 极高尾 p95-p100,61697,5.0,Gz,0.003512372919120052,0.03742043731834246,0.09386242307217464,0.9278485927679523,-0.08497290066904017,0.09199764650728029,
G 极高尾 p95-p100,61697,5.0,VG,-0.04535449171178098,0.011630606782788678,-3.8995808695809338,0.0059020646114382735,-0.07285650657110262,-0.01785247685245934,***
