group,variable,med_2016_2019,med_2020_2024,ratio_late_over_early,med_2025,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025
池规模,lag_completed_raw_count,2286.5,2658.0,1.162,2471.0,2038.0,2471.0,2426.0,2147.0,2407.0,3032.0,2723.0,2658.0,2477.0,2471.0
池规模,lag_completed_weight,706.9533032661138,766.0240749040278,1.084,753.7699970194923,648.5216538309967,765.3849527012309,766.0697849873319,631.3999628773724,721.0447030868929,766.0240749040278,833.6404983838161,778.3392389430927,735.7096695489022,753.7699970194923
池规模,lag_completed_kish_n,1364.6949942804804,1582.731504888309,1.16,1543.071839257203,1238.8191043360462,1489.468825494623,1465.6478523759122,1263.7421361850486,1483.9516212937763,1709.7724803044403,1608.7871852905052,1582.731504888309,1527.228624546194,1543.071839257203
拥挤度 C/V,C_active,6.152547055900746,7.037027614686276,1.144,6.646390514847729,6.202535517187923,6.061456918928017,6.102558594613569,6.261491684321042,7.165493475060845,7.195937226475569,7.029972911706386,7.037027614686276,6.93828448401696,6.646390514847729
拥挤度 C/V,C_14d,6.961498605893823,7.193685818395112,1.033,7.05444965813294,6.895682697747868,7.030857476116121,7.027314514039777,6.887552571664617,7.238496840894365,7.295735072749282,7.193685818395112,7.109062135687172,7.089243155027514,7.05444965813294
拥挤度 C/V,C_16d,7.091408394485834,7.313220387090301,1.031,7.170888478512505,7.028201432058005,7.1631723908466425,7.154615356913663,7.01301578963963,7.379008127628304,7.396335293800808,7.313220387090301,7.226209010100671,7.203405521083095,7.170888478512505
拥挤度 C/V,V_lag,6.558960383754902,6.66531226957729,1.016,6.62641306312764,6.476236174786463,6.641684592723341,6.642750797360365,6.4545086221031465,6.718854223040738,6.657315853512317,6.728934977483058,6.66531226957729,6.602909280516499,6.62641306312764
拥挤度 C/V,V_lag_completed,6.558960383754902,6.6425181892762515,1.013,6.62641306312764,6.476236174786463,6.641684592723341,6.642577781566544,6.449522046634133,6.5820870526087845,6.6425181892762515,6.727001091283824,6.658446431098999,6.602193879051281,6.62641306312764
相似度 H/G,H_active_raw,0.040157652001953266,0.059720198967221125,1.487,0.06430444617417432,0.04223518362846694,0.03808012037543959,0.03605281449192516,0.046749930949231355,0.059720198967221125,0.07637525565873395,0.0599780588565492,0.04851409625529349,0.052295553897552055,0.06430444617417432
相似度 H/G,H_active_residual,0.029653583979837687,0.035538972621288537,1.198,0.047159683101656316,0.030109737636776532,0.02919743032289884,0.027596249787614678,0.032210330754945955,0.034153113319197945,0.03911497972354833,0.035538972621288537,0.0341067421091295,0.03874300169216152,0.047159683101656316
相似度 H/G,H_14d_raw,0.045264629370340294,0.059702769043106195,1.319,0.06525217406151525,0.04655368888620084,0.04403474156362445,0.04105289183877768,0.04649451717705614,0.06010278314381435,0.07423151960663327,0.059702769043106195,0.05104376494452807,0.056741028034143326,0.06525217406151525
相似度 H/G,H_14d_residual,0.03203027777751251,0.035704766330192025,1.115,0.04808939477582885,0.03331185524403035,0.032036525621766135,0.02950658649472164,0.032024029933258875,0.03431877722741922,0.0387221791595994,0.035704766330192025,0.03515237775955513,0.04116244057522692,0.04808939477582885
相似度 H/G,H_16d_raw,0.04512431374880632,0.058935282894716896,1.306,0.06492501741990646,0.04643326027176163,0.04386867079655623,0.04088305348243008,0.04637995670105641,0.06002724820928123,0.07258641237184807,0.058935282894716896,0.05062971881628901,0.05600721923815907,0.06492501741990646
相似度 H/G,H_16d_residual,0.03186652602348056,0.035377990467762556,1.11,0.0475661073847663,0.033265232388902714,0.03193474573588975,0.02939258876285953,0.03179830631107137,0.034299344747317745,0.038022321988698836,0.035377990467762556,0.03484564123102861,0.040539823516293,0.0475661073847663
相似度 H/G,G_lag_raw,0.042098294770216246,0.05164969762851532,1.227,0.060592748402136416,0.04254725546684465,0.0419668868719624,0.03851418859153183,0.042229702668470086,0.04936490641657354,0.058776527211806706,0.05301080308286774,0.04761858381101032,0.05164969762851532,0.060592748402136416
相似度 H/G,G_lag_residual,0.029731688091119278,0.03183676752115461,1.071,0.04308311727560742,0.031219749859543226,0.03032453116346546,0.027744053498551382,0.029138845018773094,0.029239578716278882,0.03183676752115461,0.032109902160407,0.03137277328777627,0.03667835478475674,0.04308311727560742
相似度 H/G,G_lag_completed_raw,0.04205282885477017,0.051661277649731746,1.228,0.06059274840213641,0.04254725546684466,0.04196563970157479,0.038517938699197445,0.04214001800796555,0.04927818994717978,0.05883614764243322,0.05302361704679719,0.04769760281751373,0.051661277649731746,0.06059274840213641
相似度 H/G,G_lag_completed_residual,0.029735270103130734,0.03183195618698314,1.071,0.043085238548630465,0.031219749859543233,0.030324868794727178,0.02774668733556353,0.029145671411534287,0.02913634547262672,0.03183195618698314,0.032112962969955756,0.031377627900987054,0.03668173564637721,0.043085238548630465
