sample,variable,n,mean,std,min,max,skew,kurtosis,pct_zero,iqr,p01,p05,p10,p25,p50,p75,p90,p95,p99
train_2016_2024,pool_size_16d,1234131,1303.380170338481,852.7514270821956,1.0,5725.0,0.515442151842231,0.6119527996233405,0.0,1336.0,45.0,94.0,167.0,529.0,1322.0,1865.0,2363.0,2677.0,3430.0
train_2016_2024,C_16d,1234131,6.803772571257348,1.0509290800771036,0.6931471805599453,8.65277248565806,-1.1956233320051928,0.6152562749483441,0.0,1.258675374861122,3.828641396489095,4.553876891600541,5.123963979403259,6.272877006546167,7.187657164114956,7.531552381407289,7.768110378525988,7.8928255262511176,8.14060704285845
train_2016_2024,H_16d_raw,1234131,0.12005890829061985,0.1745930093491654,0.0,0.9794274029058025,2.65938348557809,6.849258886899436,0.005347892565700075,0.09257128912641856,0.007765813129942439,0.013133050366714286,0.017183469754824994,0.02725989627387095,0.05146538455911245,0.1198311854002895,0.3250178539127493,0.5560542553089532,0.835184503077643
train_2016_2024,lag_pool_raw_count,1234131,2383.631773288249,1449.0071592935062,13.0,8734.0,0.1874878221282249,-0.09085294146164813,0.0,2448.0,88.0,172.0,314.0,937.0,2496.0,3385.0,4132.0,4553.0,5925.0
train_2016_2024,lag_weight,1234131,734.8393105159505,487.35348417385666,1.8968362492167872,3422.5989037126924,0.46050226719377574,0.19570205728979628,0.0,781.4646904453018,24.734056940054757,52.17233547437651,92.63727159630744,279.0697754545583,735.9348790411884,1060.5344658998602,1361.888676585253,1528.9600764597171,1940.034322138743
train_2016_2024,lag_kish_n,1234131,1441.7006841775572,902.1927515396334,10.05744125616615,5900.138143123051,0.33127800959579956,0.19678127559494207,0.0,1470.6124392692223,52.61001003547668,105.26144677775144,188.91788099761692,586.0214801242705,1476.9068939973183,2056.6339193934928,2545.0091753799484,2832.0418922792387,3680.6977549052763
train_2016_2024,V_lag,1234131,6.2204959523439225,1.0642039168142483,1.0636191929289693,8.138447587792626,-1.1564127555671415,0.49996629927201885,0.0,1.3324319794926298,3.2478152854785782,3.973538251141326,4.539428505037892,5.635038770176567,6.602499528775485,6.9674707496691966,7.217361753074977,7.3329969202123735,7.570976265628406
train_2016_2024,G_lag_raw,1234131,0.1032433408485633,0.15398162593855147,-2.9121867062952424e-21,0.9726716137397169,2.9649734255028166,8.879132074039461,0.0015395448295197189,0.07092660075938338,0.007499024602297407,0.012760257004059514,0.01667910569880487,0.02611543155563878,0.047003383250351916,0.09704203231502216,0.24451255005076347,0.46879575249845196,0.7715998544768146
train_2016_2024,G_lag_residual,1149206,0.07792646406373076,0.136853817097505,-9.062592277229584e-19,0.9726030860455683,3.4257488253835686,12.18535744088685,0.011747241138664434,0.04051374614773577,0.0035670615466129405,0.009337100435923146,0.012706012919142282,0.01927648572204254,0.03082265413118101,0.05979023186977831,0.17408048591019049,0.4068538876783941,0.7137479654234212
train_2016_2024,V_lag_completed,1234131,6.204152576613057,1.0597422588659424,1.063619192928969,8.138447587792626,-1.167606004859228,0.5307516333697802,0.0,1.311633185777346,3.2329166018130637,3.963913935514287,4.526348100002937,5.63069099725055,6.5894587657635375,6.942324183027896,7.192304218194284,7.309799245358828,7.556372281069206
train_2016_2024,G_lag_completed_raw,1234131,0.10341765923581576,0.15426403986786177,-2.9239700812377345e-21,0.9726716137397167,2.9620087299979905,8.857042211152782,0.0015395448295197189,0.07106939747344973,0.007496385556604405,0.01275958282802862,0.01666593965707015,0.02611308417774541,0.04703065037048626,0.09718248165119514,0.24515397783269055,0.47118219382711396,0.7735238698580594
train_2016_2024,boilerplate_share,1234131,0.2641642093658447,0.35204747319221497,0.0,1.0,0.8697612285614014,-0.789583683013916,59.38145950470412,0.5555555820465088,0.0,0.0,0.0,0.0,0.0,0.5555555820465088,0.8181818127632141,1.0,1.0
train_2016_2024,loanAmount,1234131,553.4940010420288,1756.046416377829,5.0,500000.0,167.60393448638195,40956.33902484118,0.0,375.0,75.0,100.0,125.0,200.0,325.0,575.0,1025.0,1525.0,3850.0
train_2016_2024,borrowerCount,1234131,1.6437290692803277,2.6522357697588723,1.0,50.0,5.900258097537437,42.79242553095567,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,15.0
train_2016_2024,country_ppp,1234131,2850.6958564366346,1267.1803311578528,486.0,4321.0,-0.15274385834128174,-1.3291855444369327,0.0,2677.0,616.0,772.0,1115.0,1644.0,2790.0,4321.0,4321.0,4321.0,4321.0
train_2016_2024,log_loan_amount,1234131,5.900398916147615,0.821647945053099,1.791759469228055,13.122365377402328,0.5721297578091034,0.855985524171432,0.0,1.0528027526368158,4.330733340286331,4.61512051684126,4.836281906951478,5.303304908059076,5.786897381366708,6.3561076606958915,6.933423025730715,7.330405211844402,8.25608813381491
train_2016_2024,log_borrower_count,1234131,0.818871578825588,0.41886350748944273,0.6931471805599453,3.9318256327243257,3.654737929861396,13.264452501758871,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.791759469228055,2.772588722239781
train_2016_2024,log_repayment_term,1234131,2.5209039652611067,0.34250892726010246,1.0986122886681098,4.897839799950911,0.5394555339035836,0.8541872311657257,0.0,0.5108256237659905,1.791759469228055,2.0794415416798357,2.1972245773362196,2.1972245773362196,2.5649493574615367,2.70805020110221,2.9444389791664403,3.091042453358316,3.5263605246161616
train_2016_2024,log_platform_posting_7d,1234131,7.965555602112074,0.3705092278996934,6.045005314036012,9.05122740031911,-0.3415219645748024,0.7867192942906964,0.0,0.4167978631847191,6.984716320118266,7.290292882446597,7.469083884921234,7.7702232041587855,7.9909154630913255,8.187021067343505,8.398184404834035,8.543445562560303,8.87346805533363
train_2016_2024,active_raw_Cz,1234131,0.0,1.0,-3.023852825164795,1.7009397745132446,-1.02870774269104,0.3258526027202606,0.0,1.1878276765346527,-2.781555652618408,-2.142280340194702,-1.6007845401763916,-0.48958685994148254,0.3327614665031433,0.6982408165931702,1.0076946020126343,1.2015758752822876,1.4191300868988037
train_2016_2024,active_raw_Hz,1234131,6.330365120987835e-09,1.0,-0.6983932256698608,6.046809673309326,3.043405771255493,10.2626953125,0.0,0.533247989602387,-0.6480497419834137,-0.6126634180545807,-0.5864794254302979,-0.521673709154129,-0.3743090331554413,0.011574280448257923,1.0777860879898071,2.0315282344818115,4.703952789306641
train_2016_2024,active_raw_CH,1234131,-0.15317901968955994,1.1942721605300903,-18.28466033935547,4.570896625518799,-5.008670806884766,41.653011322021484,0.0,0.4747886434197426,-5.512800312042236,-1.2903043031692505,-0.5537071824073792,-0.2910080701112747,-0.0724136084318161,0.18378057330846786,0.6506608724594116,1.0627354383468628,1.9205253362655625
train_2016_2024,active_raw_Vz,1234131,0.0,1.0,-4.845759868621826,1.8022407293319702,-1.1564128398895264,0.499966025352478,0.0,1.252045750617981,-2.793337368965149,-2.1113977432250977,-1.5796478986740112,-0.5501362681388855,0.35895711183547974,0.7019094824790955,0.9367244243621826,1.0453832745552063,1.2690052390098558
train_2016_2024,active_raw_Gz,1234131,0.0,1.0,-0.6704912781715393,5.6463117599487305,2.9649736881256104,8.879131317138672,0.0,0.4606173038482666,-0.6217905402183532,-0.5876226127147675,-0.5621724724769592,-0.5008903443813324,-0.36523810029029846,-0.040273040533065796,0.9174419641494751,2.374000310897827,4.3404951095581055
