variable,group,bin,left,right,count,share_pct
boilerplate_share,文本,36,0.8999999761581421,0.925000011920929,7880,0.6385
boilerplate_share,文本,37,0.925000011920929,0.949999988079071,3243,0.2628
boilerplate_share,文本,38,0.949999988079071,0.9750000238418579,330,0.0267
boilerplate_share,文本,39,0.9750000238418579,1.0,84925,6.8814
loanAmount,控制变量,0,25.0,228.125,407303,33.0032
loanAmount,控制变量,1,228.125,431.25,364145,29.5062
loanAmount,控制变量,2,431.25,634.375,197834,16.0302
loanAmount,控制变量,3,634.375,837.5,81737,6.623
loanAmount,控制变量,4,837.5,1040.625,61961,5.0206
loanAmount,控制变量,5,1040.625,1243.75,27341,2.2154
loanAmount,控制变量,6,1243.75,1446.875,19276,1.5619
loanAmount,控制变量,7,1446.875,1650.0,17054,1.3819
loanAmount,控制变量,8,1650.0,1853.125,8316,0.6738
loanAmount,控制变量,9,1853.125,2056.25,9602,0.778
loanAmount,控制变量,10,2056.25,2259.375,4178,0.3385
loanAmount,控制变量,11,2259.375,2462.5,3875,0.314
loanAmount,控制变量,12,2462.5,2665.625,3828,0.3102
loanAmount,控制变量,13,2665.625,2868.75,3702,0.3
loanAmount,控制变量,14,2868.75,3071.875,5224,0.4233
loanAmount,控制变量,15,3071.875,3275.0,1746,0.1415
loanAmount,控制变量,16,3275.0,3478.125,1824,0.1478
loanAmount,控制变量,17,3478.125,3681.25,1755,0.1422
loanAmount,控制变量,18,3681.25,3884.375,1248,0.1011
loanAmount,控制变量,19,3884.375,4087.5,2551,0.2067
loanAmount,控制变量,20,4087.5,4290.625,993,0.0805
loanAmount,控制变量,21,4290.625,4493.75,847,0.0686
loanAmount,控制变量,22,4493.75,4696.875,859,0.0696
loanAmount,控制变量,23,4696.875,4900.0,783,0.0634
loanAmount,控制变量,24,4900.0,5103.125,996,0.0807
loanAmount,控制变量,25,5103.125,5306.25,648,0.0525
loanAmount,控制变量,26,5306.25,5509.375,524,0.0425
loanAmount,控制变量,27,5509.375,5712.5,458,0.0371
loanAmount,控制变量,28,5712.5,5915.625,382,0.031
loanAmount,控制变量,29,5915.625,6118.75,335,0.0271
loanAmount,控制变量,30,6118.75,6321.875,244,0.0198
loanAmount,控制变量,31,6321.875,6525.0,166,0.0135
loanAmount,控制变量,32,6525.0,6728.125,173,0.014
loanAmount,控制变量,33,6728.125,6931.25,154,0.0125
loanAmount,控制变量,34,6931.25,7134.375,177,0.0143
loanAmount,控制变量,35,7134.375,7337.5,127,0.0103
loanAmount,控制变量,36,7337.5,7540.625,147,0.0119
loanAmount,控制变量,37,7540.625,7743.75,103,0.0083
loanAmount,控制变量,38,7743.75,7946.875,128,0.0104
loanAmount,控制变量,39,7946.875,8150.0,1387,0.1124
log_loan_amount,控制变量,0,3.258096538021482,3.4017915220233066,1548,0.1254
log_loan_amount,控制变量,1,3.4017915220233066,3.545486506025131,1,0.0001
log_loan_amount,控制变量,2,3.545486506025131,3.6891814900269555,7,0.0006
log_loan_amount,控制变量,3,3.6891814900269555,3.8328764740287795,10,0.0008
log_loan_amount,控制变量,4,3.8328764740287795,3.9765714580306044,6938,0.5622
log_loan_amount,控制变量,5,3.9765714580306044,4.120266442032428,29,0.0023
log_loan_amount,控制变量,6,4.120266442032428,4.263961426034253,24,0.0019
log_loan_amount,控制变量,7,4.263961426034253,4.407656410036077,12327,0.9988
log_loan_amount,控制变量,8,4.407656410036077,4.551351394037901,31,0.0025
log_loan_amount,控制变量,9,4.551351394037901,4.695046378039726,55888,4.5285
log_loan_amount,控制变量,10,4.695046378039726,4.83874136204155,52557,4.2586
log_loan_amount,控制变量,11,4.83874136204155,4.982436346043375,72,0.0058
log_loan_amount,控制变量,12,4.982436346043375,5.126131330045199,46046,3.731
log_loan_amount,控制变量,13,5.126131330045199,5.269826314047023,54998,4.4564
log_loan_amount,控制变量,14,5.269826314047023,5.413521298048848,113539,9.1999
log_loan_amount,控制变量,15,5.413521298048848,5.557216282050673,108070,8.7568
log_loan_amount,控制变量,16,5.557216282050673,5.700911266052497,55809,4.5221
log_loan_amount,控制变量,17,5.700911266052497,5.844606250054321,112119,9.0849
log_loan_amount,控制变量,18,5.844606250054321,5.988301234056146,73024,5.917
log_loan_amount,控制变量,19,5.988301234056146,6.131996218057971,105801,8.5729
log_loan_amount,控制变量,20,6.131996218057971,6.275691202059795,85402,6.92
log_loan_amount,控制变量,21,6.275691202059795,6.419386186061619,68547,5.5543
log_loan_amount,控制变量,22,6.419386186061619,6.563081170063443,51924,4.2073
log_loan_amount,控制变量,23,6.563081170063443,6.706776154065268,37872,3.0687
log_loan_amount,控制变量,24,6.706776154065268,6.850471138067093,34018,2.7564
log_loan_amount,控制变量,25,6.850471138067093,6.994166122068917,44757,3.6266
log_loan_amount,控制变量,26,6.994166122068917,7.137861106070741,21416,1.7353
log_loan_amount,控制变量,27,7.137861106070741,7.281556090072565,18984,1.5382
log_loan_amount,控制变量,28,7.281556090072565,7.4252510740743904,16463,1.334
log_loan_amount,控制变量,29,7.4252510740743904,7.5689460580762145,9164,0.7425
log_loan_amount,控制变量,30,7.5689460580762145,7.7126410420780385,10912,0.8842
log_loan_amount,控制变量,31,7.7126410420780385,7.8563360260798625,6822,0.5528
log_loan_amount,控制变量,32,7.8563360260798625,8.000031010081686,7154,0.5797
log_loan_amount,控制变量,33,8.000031010081686,8.143725994083512,6325,0.5125
log_loan_amount,控制变量,34,8.143725994083512,8.287420978085336,3841,0.3112
log_loan_amount,控制变量,35,8.287420978085336,8.43111596208716,4319,0.35
log_loan_amount,控制变量,36,8.43111596208716,8.574810946088984,2791,0.2262
log_loan_amount,控制变量,37,8.574810946088984,8.71850593009081,1776,0.1439
log_loan_amount,控制变量,38,8.71850593009081,8.862200914092634,869,0.0704
log_loan_amount,控制变量,39,8.862200914092634,9.005895898094458,1937,0.157
borrowerCount,控制变量,0,1.0,1.675,1106410,89.6509
borrowerCount,控制变量,1,1.675,2.35,20858,1.6901
borrowerCount,控制变量,2,2.35,3.0250000000000004,18581,1.5056
borrowerCount,控制变量,3,3.0250000000000004,3.7,0,0.0
borrowerCount,控制变量,4,3.7,4.375,14190,1.1498
borrowerCount,控制变量,5,4.375,5.050000000000001,16485,1.3358
borrowerCount,控制变量,6,5.050000000000001,5.7250000000000005,0,0.0
borrowerCount,控制变量,7,5.7250000000000005,6.4,7122,0.5771
borrowerCount,控制变量,8,6.4,7.075,5620,0.4554
borrowerCount,控制变量,9,7.075,7.75,0,0.0
borrowerCount,控制变量,10,7.75,8.425,6211,0.5033
borrowerCount,控制变量,11,8.425,9.100000000000001,5445,0.4412
borrowerCount,控制变量,12,9.100000000000001,9.775,0,0.0
borrowerCount,控制变量,13,9.775,10.450000000000001,6159,0.4991
borrowerCount,控制变量,14,10.450000000000001,11.125,4178,0.3385
borrowerCount,控制变量,15,11.125,11.8,0,0.0
borrowerCount,控制变量,16,11.8,12.475000000000001,3332,0.27
borrowerCount,控制变量,17,12.475000000000001,13.15,2884,0.2337
borrowerCount,控制变量,18,13.15,13.825000000000001,0,0.0
borrowerCount,控制变量,19,13.825000000000001,14.5,2515,0.2038
borrowerCount,控制变量,20,14.5,15.175,2433,0.1971
borrowerCount,控制变量,21,15.175,15.850000000000001,0,0.0
borrowerCount,控制变量,22,15.850000000000001,16.525,1768,0.1433
borrowerCount,控制变量,23,16.525,17.200000000000003,1191,0.0965
borrowerCount,控制变量,24,17.200000000000003,17.875,0,0.0
borrowerCount,控制变量,25,17.875,18.55,1052,0.0852
borrowerCount,控制变量,26,18.55,19.225,1117,0.0905
borrowerCount,控制变量,27,19.225,19.900000000000002,0,0.0
borrowerCount,控制变量,28,19.900000000000002,20.575000000000003,1438,0.1165
borrowerCount,控制变量,29,20.575000000000003,21.25,770,0.0624
borrowerCount,控制变量,30,21.25,21.925,0,0.0
borrowerCount,控制变量,31,21.925,22.6,693,0.0562
borrowerCount,控制变量,32,22.6,23.275000000000002,619,0.0502
borrowerCount,控制变量,33,23.275000000000002,23.950000000000003,0,0.0
borrowerCount,控制变量,34,23.950000000000003,24.625,516,0.0418
