decile,n,mean_outcome,median_outcome,bin_min,bin_max,bin_mean,variable,outcome,view
4,123411,-0.021299710566669457,0.16800368884695874,-0.049332513643722826,0.009269916172470692,-0.019896177136599476,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
5,123413,0.04736649138946677,0.2628475337080236,0.009270221774526145,0.06595097255028261,0.037429868971916996,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
6,123417,0.13611042923474342,0.3833072228627949,0.06595157350361004,0.12483374740746254,0.09495796412085511,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
7,123409,0.16717848970375168,0.44297544986042836,0.12483501697018208,0.192716763590595,0.1567105392624686,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
8,123413,0.20651157056387384,0.4937200852534177,0.19271694189861852,0.30326355058947857,0.2414313889671013,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
9,123413,0.3094218033686724,0.5156174170606231,0.30326390548504345,2.124300651957494,0.5475880109041923,dm_active_raw_Cz,dm_log_funding_hours,FE_demeaned
0,123414,4.1300473381922505,4.364184376108856,-0.6983932256698608,-0.5864794254302979,-0.6166514754295349,active_raw_Hz,log_funding_hours,raw
1,123413,4.120430213460579,4.394709751715451,-0.5864775776863098,-0.543212354183197,-0.5645031332969666,active_raw_Hz,log_funding_hours,raw
2,123413,4.089351032022563,4.373812434761741,-0.5432121753692627,-0.4984893798828125,-0.5213614106178284,active_raw_Hz,log_funding_hours,raw
3,123413,4.022290229068333,4.31461361575288,-0.49848929047584534,-0.44543370604515076,-0.4729938805103302,active_raw_Hz,log_funding_hours,raw
4,123413,4.025170768097031,4.352891006770334,-0.4454334080219269,-0.3743090331554413,-0.4119953215122223,active_raw_Hz,log_funding_hours,raw
5,123414,4.019210263102693,4.326550627991819,-0.3743082880973816,-0.2712319493293762,-0.32617175579071045,active_raw_Hz,log_funding_hours,raw
6,123412,4.157683435817563,4.487082416052043,-0.2712315618991852,-0.11263729631900787,-0.19850687682628632,active_raw_Hz,log_funding_hours,raw
7,123413,4.249665036612513,4.546204257223882,-0.11263492703437805,0.20631007850170135,0.02366017736494541,active_raw_Hz,log_funding_hours,raw
8,123413,4.222312585052554,4.421898177658141,0.20631028711795807,1.0777860879898071,0.549602746963501,active_raw_Hz,log_funding_hours,raw
9,123413,3.7485260700097065,3.703911734447888,1.0778417587280273,6.046809673309326,2.5389270782470703,active_raw_Hz,log_funding_hours,raw
0,123414,-0.26259825362538747,-0.35431544783558844,-4.478950602720527,-0.6621130158611627,-1.2029663845525478,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
1,123413,-0.28183122797223537,-0.18246084407039379,-0.6621090270448888,-0.3753773849702469,-0.5004392341775956,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
2,123413,-0.14620603006974958,-0.0021298957342762437,-0.37537627067381224,-0.21454451755129886,-0.2893740771123116,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
3,123413,-0.10212423994941096,0.06440155858114313,-0.21454405951135994,-0.10162085349344233,-0.1553993856788913,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
4,123413,-0.07504213375459176,0.1162554143272518,-0.10161952124873323,-0.009633295652198458,-0.054437334926282686,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
5,123413,0.010223556405859303,0.234933573725698,-0.009632142017878053,0.07754243389950326,0.03387380398879339,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
6,123413,0.08872855028529159,0.32137571721773284,0.07754280166994085,0.17203318156799233,0.12358507441683728,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
7,123416,0.13629177720179694,0.3822987031803951,0.17203392469736858,0.29367967188067245,0.22880612621030613,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
8,123410,0.24808442472528325,0.5400440392871388,0.29368160884758,0.6024392962401863,0.4098975369424783,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
9,123413,0.3844784220789704,0.5878379944901782,0.6024403914496146,5.8625112264025745,1.4064680244570604,dm_active_raw_Hz,dm_log_funding_hours,FE_demeaned
