group,variable,n,pct_missing,n_unique,discreteness,min,p01,p25,p50,p75,p95,p99,max,mean,std,iqr,skew,kurtosis,mean_over_median,p99_over_p50,pct_zero,pct_negative,mode_value,mode_pct,top10_values_pct
相似度 H/G,H_active_raw,1234131,0.0,1142636,连续,0.0,0.007463596734182108,0.026199288180702246,0.04804661736813529,0.10525517881772621,0.4047204700290785,0.800916810477438,1.0000000590602602,0.10353925094849432,0.14825352079650714,0.07905589063702397,3.043405675982473,10.262696397584223,2.1549748269513342,16.669577471828624,0.0063,0.0,0.0,0.006,0.01
相似度 H/G,H_active_residual,1149206,6.8814,1064995,连续,0.0,0.004237847930766808,0.020107519951724297,0.03263604676018518,0.07026458015857584,0.3232776088080687,0.7428899308227159,1.0000000462284284,0.07785669361361774,0.12887862183439178,0.05015706020685154,3.730526142914779,15.750581488426313,2.3856043039073027,22.762865131355777,0.132,0.0,0.0,0.132,0.14
相似度 H/G,H_14d_raw,1234131,0.0,1146874,连续,0.0,0.00771658170431519,0.027290571328736343,0.05180640521577532,0.12269113245667404,0.5689811526431644,0.8405692172772873,0.9826219063833039,0.12219094945617526,0.17727680759231126,0.0954005611279377,2.6182375081130282,6.592189778516248,2.358606989758237,16.225198675265922,0.0056,0.0,0.0,0.006,0.01
相似度 H/G,H_14d_residual,1149206,6.8814,1069595,连续,0.0,0.004303911704039696,0.02038473865958693,0.034076885217199704,0.07610427207323481,0.4716494990311367,0.8319860676520383,0.9826172475759064,0.09309808013123583,0.16015135955508758,0.05571953341364788,3.1646357829101692,10.087322398014763,2.7320008720822355,24.414968162410222,0.0875,0.0,0.0,0.088,0.1
相似度 H/G,H_16d_raw,1234131,0.0,1146889,连续,0.0,0.007765813129942439,0.02725989627387095,0.05146538455911245,0.1198311854002895,0.5560542553089532,0.835184503077643,0.9794274029058025,0.12005890829061985,0.1745930093491654,0.09257128912641856,2.65938348557809,6.849258886899436,2.3328089223295674,16.228082433122818,0.0053,0.0,0.0,0.005,0.01
相似度 H/G,H_16d_residual,1149206,6.8814,1069695,连续,0.0,0.004331870662972766,0.020349366998348897,0.033841141654667645,0.07463673092017603,0.4642613476682959,0.828350534427882,0.9794256968463332,0.09148241914223422,0.15766738428695237,0.054287363921827134,3.2055255061813748,10.413632990548994,2.703289979864383,24.47761789128734,0.0795,0.0,0.0,0.08,0.09
相似度 H/G,G_lag_raw,1234131,0.0,1007733,连续,-2.9121867062952424e-21,0.007499024602297407,0.02611543155563878,0.047003383250351916,0.09704203231502216,0.46879575249845196,0.7715998544768146,0.9726716137397169,0.1032433408485633,0.15398162593855147,0.07092660075938338,2.9649734255028166,8.879132074039461,2.1965087129720673,16.41583650196154,0.0015,0.0009,0.7141801133629871,0.1,0.61
相似度 H/G,G_lag_residual,1149206,6.8814,949962,连续,-9.062592277229584e-19,0.0035670615466129405,0.01927648572204254,0.03082265413118101,0.05979023186977831,0.4068538876783941,0.7137479654234212,0.9726030860455683,0.07792646406373076,0.136853817097505,0.04051374614773577,3.4257488253835686,12.18535744088685,2.528220435919511,23.156603009776987,0.0117,0.0058,0.7137479654234212,0.107,0.65
相似度 H/G,G_lag_completed_raw,1234131,0.0,1008118,连续,-2.9239700812377345e-21,0.007496385556604405,0.02611308417774541,0.04703065037048626,0.09718248165119514,0.47118219382711396,0.7735238698580594,0.9726716137397167,0.10341765923581576,0.15426403986786177,0.07106939747344973,2.9620087299979905,8.857042211152782,2.1989417203703985,16.4472288553228,0.0015,0.0009,0.7141801133629874,0.1,0.61
相似度 H/G,G_lag_completed_residual,1149206,6.8814,950273,连续,-9.062592277229584e-19,0.003536616882582976,0.01926771710661848,0.03082339497774428,0.059808125051289976,0.40819332467732666,0.7137479654234217,0.9726030860455683,0.07804178861278344,0.13715893002681484,0.040540407944671494,3.424081497274829,12.167257870926335,2.531901131239201,23.156046436116988,0.0117,0.0059,0.7137479654234217,0.107,0.65
