period,day,arrivals,arrivals_per_day,arrivals_index,arrivals_share_pct,completions_index,completions_per_day,net_per_day
2016-2025,2,34109,284.2416666666667,0.7099192282882452,2.3461768096562694,0.9387157583568597,373.01666666666665,-88.77499999999998
2016-2025,3,35386,294.8833333333333,0.7364977516845361,2.434014851989115,0.7902601743032381,314.025,-19.14166666666665
2016-2025,4,35845,298.7083333333333,0.7460510345654269,2.465587022255973,0.7664368174046771,304.55833333333334,-5.850000000000023
2016-2025,5,32947,274.55833333333334,0.6857342289252928,2.2662490060613063,0.701006470993136,278.55833333333334,-4.0
2016-2025,6,33876,282.3,0.7050697404641764,2.33014997812647,0.6530451882228813,259.5,22.80000000000001
2016-2025,7,34192,284.93333333333334,0.7116467282427418,2.351885938484481,0.6491655042209149,257.9583333333333,26.975000000000023
2016-2025,8,32543,271.19166666666666,0.6773256749299118,2.238459993451698,0.8737258085077041,347.19166666666666,-76.0
2016-2025,9,30986,258.21666666666664,0.6449194408437527,2.131362239409222,0.6599866768966698,262.2583333333333,-4.041666666666686
2016-2025,10,30748,256.23333333333335,0.639965886757365,2.114991484456037,0.6287604634970593,249.85,6.383333333333354
2016-2025,11,31221,260.175,0.6498105551727492,2.1475266403083753,0.6138708654354587,243.93333333333334,16.241666666666674
2016-2025,12,31530,262.75,0.6562418501840678,2.168781107873645,0.6227417104777926,247.45833333333334,15.291666666666657
2016-2025,13,32432,270.26666666666665,0.6750154039064283,2.230824893452523,0.6034900893220891,239.80833333333334,30.458333333333314
2016-2025,14,31029,258.575,0.6458144106996968,2.1343199808503437,0.5930254281492177,235.65,22.924999999999983
2016-2025,15,30511,254.25833333333333,0.635033145923441,2.0986895141875292,0.5443930649029471,216.325,37.93333333333334
2016-2025,16,31763,264.69166666666666,0.6610913380081366,2.1848079394034445,0.5769194967248383,229.25,35.44166666666666
2016-2025,17,147047,1225.3916666666667,3.0605263350465153,10.11458152773536,1.6899064661970526,671.5166666666667,553.875
2016-2025,18,104575,871.4583333333334,2.1765458764033903,7.193158400123262,2.2429816347584546,891.2916666666666,-19.833333333333258
2016-2025,19,62101,517.5083333333333,1.2925237912553376,4.2715977031418095,1.629299510706875,647.4333333333333,-129.92499999999995
2016-2025,20,51913,432.60833333333335,1.0804783751539966,3.5708193356500018,1.3449081877303017,534.425,-101.8166666666666
2016-2025,21,53687,447.39166666666665,1.1174010850248033,3.6928433662674407,1.5373824567575853,610.9083333333333,-163.51666666666665
2016-2025,22,53669,447.2416666666667,1.1170264464804547,3.69160524194325,1.3559600443196873,538.8166666666667,-91.57500000000005
2016-2025,23,51125,426.0416666666667,1.064077532212511,3.51661700412433,1.1871203908070855,471.725,-45.68333333333334
2016-2025,24,50880,424.0,1.0589782853588763,3.4997647563784042,1.090631601114938,433.3833333333333,-9.383333333333326
2016-2025,25,49802,415.01666666666665,1.0365415992028844,3.42561486629633,1.0550223933563492,419.23333333333335,-4.216666666666697
2016-2025,26,51065,425.5416666666667,1.062828737064682,3.512489923043695,1.1454714587643546,455.175,-29.633333333333326
2016-2025,27,54677,455.64166666666665,1.1380062049639796,3.7609402040979165,1.08880710107077,432.65833333333336,22.98333333333329
2016-2025,28,53491,445.7583333333333,1.1133216875418956,3.6793615680707,0.993157161973642,394.65,51.10833333333335
2016-2025,29,51692,457.4513274336283,1.1425259961339755,3.55561792033633,0.9449317897350881,375.4867256637168,81.9646017699115
2016-2025,30,56627,514.790909090909,1.2857367788382736,3.895070339218551,0.9318562482639483,370.2909090909091,144.49999999999994
2016-2025,31,38183,545.4714285714285,1.362364146558557,2.6264056150313797,0.9081156870085318,360.85714285714283,184.6142857142857
