pool_type,pool_n,formula_raw,brute_raw,abs_error_raw,formula_residual,brute_residual,abs_error_residual,check_id
lag_weighted_35_65d,224,0.8884743197264157,0.8884743197264149,7.771561172376096e-16,0.8885958711754044,0.8885958711754042,2.220446049250313e-16,38
posting_16d,263,0.8177157033260426,0.8177157033260393,3.3306690738754696e-15,0.817679863446011,0.8176798634460115,5.551115123125783e-16,38
active,222,0.06904172367771733,0.06904172367771731,1.3877787807814457e-17,0.06836048155757037,0.06836048155757037,0.0,39
lag_weighted_35_65d,22,0.11311129103089797,0.11311129103089788,8.326672684688674e-17,0.10726477207135109,0.10726477207135102,6.938893903907228e-17,39
posting_16d,290,0.08721466605045279,0.0872146660504528,1.3877787807814457e-17,0.0884379540814463,0.08843795408144635,5.551115123125783e-17,39
active,711,0.032332891307025054,0.03233289130702509,3.469446951953614e-17,0.02642406849420155,0.026424068494201574,2.42861286636753e-17,40
lag_weighted_35_65d,3713,0.02713079020220181,0.027130790202201733,7.632783294297951e-17,0.026965159173724204,0.026965159173724117,8.673617379884035e-17,40
posting_16d,1385,0.027424083898328247,0.027424083898328292,4.5102810375396984e-17,0.0246360741334251,0.024636074133425123,2.0816681711721685e-17,40
active,519,0.0892122431709648,0.08921224317096486,6.938893903907228e-17,0.01948090724155847,0.01948090724155847,0.0,41
lag_weighted_35_65d,1893,0.16901698581058483,0.16901698581058486,2.7755575615628914e-17,0.053039132479104134,0.05303913247910412,1.3877787807814457e-17,41
posting_16d,810,0.13149395832769176,0.1314939583276919,1.3877787807814457e-16,0.030447898288399534,0.030447898288399552,1.734723475976807e-17,41
active,1024,0.020330255404281527,0.020330255404281548,2.0816681711721685e-17,0.022252873290903242,0.02225287329090322,2.0816681711721685e-17,42
lag_weighted_35_65d,3332,0.018489203504922672,0.018489203504922783,1.1102230246251565e-16,0.019108942642428867,0.019108942642428982,1.1449174941446927e-16,42
posting_16d,609,0.02060181284189759,0.02060181284189758,1.0408340855860843e-17,0.02281220406012234,0.02281220406012233,1.0408340855860843e-17,42
active,2019,0.09927173354097425,0.09927173354097453,2.7755575615628914e-16,0.07217942870515337,0.07217942870515325,1.249000902703301e-16,43
lag_weighted_35_65d,3276,0.06652276825584573,0.06652276825584588,1.5265566588595902e-16,0.053752701218832015,0.05375270121883217,1.5265566588595902e-16,43
posting_16d,1080,0.08055066450920594,0.08055066450920587,6.938893903907228e-17,0.06060561044880075,0.06060561044880074,1.3877787807814457e-17,43
active,537,0.01920107512792686,0.019201075127926855,6.938893903907228e-18,0.01311180921119056,0.01311180921119057,1.0408340855860843e-17,44
lag_weighted_35_65d,2809,0.03592563954608784,0.03592563954608785,1.3877787807814457e-17,0.024045986367966607,0.024045986367966656,4.85722573273506e-17,44
posting_16d,942,0.023903216076755014,0.023903216076755,1.3877787807814457e-17,0.016908362446389307,0.016908362446389328,2.0816681711721685e-17,44
active,136,0.04550784395466076,0.04550784395466077,1.3877787807814457e-17,0.04920935325675174,0.049209353256751694,4.85722573273506e-17,45
lag_weighted_35_65d,558,0.026922824192517417,0.02692282419251741,6.938893903907228e-18,0.0313412217866871,0.0313412217866871,0.0,45
posting_16d,254,0.02038196204680297,0.020381962046802992,2.0816681711721685e-17,0.024946151327522183,0.024946151327522176,6.938893903907228e-18,45
active,476,0.015977342254941473,0.015977342254941487,1.3877787807814457e-17,0.014680985628310432,0.014680985628310434,1.734723475976807e-18,46
lag_weighted_35_65d,524,0.01102564639113501,0.011025646391135005,5.204170427930421e-18,0.013429106860623178,0.013429106860623182,3.469446951953614e-18,46
posting_16d,990,0.01788919902861235,0.01788919902861236,1.0408340855860843e-17,0.016017672769682505,0.01601767276968251,3.469446951953614e-18,46
active,598,0.018876825070338346,0.01887682507033837,2.42861286636753e-17,0.022024595315659912,0.02202459531565989,2.0816681711721685e-17,47
lag_weighted_35_65d,3200,0.022540530696136266,0.02254053069613625,1.734723475976807e-17,0.025583673020393553,0.025583673020393567,1.3877787807814457e-17,47
posting_16d,1512,0.02030033095018527,0.02030033095018529,2.0816681711721685e-17,0.023439052745813285,0.023439052745813257,2.7755575615628914e-17,47
active,776,0.030356984879231254,0.030356984879231316,6.245004513516506e-17,0.02917084056392245,0.029170840563922454,3.469446951953614e-18,48
lag_weighted_35_65d,4044,0.06962847774679491,0.0696284777467949,1.3877787807814457e-17,0.05657931896939646,0.056579318969396386,7.632783294297951e-17,48
posting_16d,2361,0.07854826450650373,0.07854826450650344,2.914335439641036e-16,0.06996298477853914,0.06996298477853899,1.5265566588595902e-16,48
active,37,0.15154668083571857,0.1515466808357186,2.7755575615628914e-17,0.12920549210089333,0.12920549210089333,0.0,49
lag_weighted_35_65d,115,0.16198812527305106,0.16198812527305098,8.326672684688674e-17,0.15853430083901476,0.1585343008390147,5.551115123125783e-17,49
posting_16d,111,0.1440081963443079,0.1440081963443079,0.0,0.1321878168185206,0.13218781681852051,8.326672684688674e-17,49
active,180,0.05937936682571491,0.059379366825714916,6.938893903907228e-18,0.04624391624777255,0.04624391624777255,0.0,50
lag_weighted_35_65d,455,0.06404677853197184,0.06404677853197192,8.326672684688674e-17,0.048396441761739156,0.04839644176173916,6.938893903907228e-18,50
posting_16d,205,0.05690487319160437,0.05690487319160439,1.3877787807814457e-17,0.043652467629480905,0.043652467629480905,0.0,50
active,32,0.1797608751409837,0.17976087514098368,2.7755575615628914e-17,0.13482267342383758,0.13482267342383758,0.0,51
lag_weighted_35_65d,357,0.14406594153148727,0.14406594153148722,5.551115123125783e-17,0.11071405324752727,0.1107140532475272,6.938893903907228e-17,51
posting_16d,161,0.17816994497727406,0.17816994497727404,2.7755575615628914e-17,0.12210073071971057,0.1221007307197106,2.7755575615628914e-17,51
active,43,0.008004361923889003,0.008004361923889003,0.0,0.009285541701901665,0.009285541701901665,0.0,52
lag_weighted_35_65d,127,0.01322664541786524,0.013226645417865234,5.204170427930421e-18,0.01566453679393082,0.015664536793930806,1.3877787807814457e-17,52
posting_16d,74,0.008499957490084652,0.008499957490084652,0.0,0.011108090080402293,0.011108090080402293,0.0,52
active,92,0.13139309957812859,0.13139309957812859,0.0,0.13135606312951104,0.1313560631295111,5.551115123125783e-17,53
lag_weighted_35_65d,542,0.5289798299508559,0.5289798299508568,8.881784197001252e-16,0.528760961842754,0.5287609618427543,3.3306690738754696e-16,53
posting_16d,389,0.4477286053295409,0.44772860532954173,8.326672684688674e-16,0.4466971942527478,0.44669719425274956,1.7763568394002505e-15,53
active,1037,0.04664315634697289,0.046643156346972615,2.7755575615628914e-16,0.03473693473253206,0.034736934732532046,1.3877787807814457e-17,54
lag_weighted_35_65d,2215,0.051359391594700377,0.051359391594700404,2.7755575615628914e-17,0.03654087275456935,0.036540872754569284,6.938893903907228e-17,54
posting_16d,1555,0.056742427689671526,0.05674242768967164,1.1102230246251565e-16,0.03775081991041858,0.037750819910418676,9.71445146547012e-17,54
active,941,0.014096334183517124,0.014096334183517144,2.0816681711721685e-17,0.014049979045934923,0.014049979045934918,5.204170427930421e-18,55
lag_weighted_35_65d,1464,0.015366951791263165,0.015366951791263178,1.3877787807814457e-17,0.017391675307681456,0.01739167530768151,5.551115123125783e-17,55
posting_16d,1030,0.013384491673113426,0.013384491673113461,3.469446951953614e-17,0.01364913792239694,0.013649137922396932,8.673617379884035e-18,55
active,1481,0.05167926061360353,0.05167926061360372,1.942890293094024e-16,0.04956008275801871,0.04956008275801872,1.3877787807814457e-17,56
lag_weighted_35_65d,4051,0.04185751293646567,0.04185751293646566,6.938893903907228e-18,0.03991732390927181,0.03991732390927163,1.8041124150158794e-16,56
posting_16d,2536,0.038581357884243925,0.03858135788424404,1.1796119636642288e-16,0.037531968861341046,0.037531968861341046,0.0,56
active,57,0.02100310373003674,0.021003103730036738,3.469446951953614e-18,0.019832861520218115,0.019832861520218115,0.0,57
lag_weighted_35_65d,79,0.019112453226287743,0.019112453226287743,0.0,0.016290358286900588,0.016290358286900588,0.0,57
posting_16d,42,0.016759792260551746,0.01675979226055174,6.938893903907228e-18,0.014106955202386993,0.014106955202386993,0.0,57
